category;pos;description
체언;NNG;일반 명사
체언;NNP;고유 명사
체언;NNB;의존 명사
체언;NP;대명사
체언;NR;수사
용언;VV;동사
용언;VA;형용사
용언;VX;보조 용언
용언;VCP;금정 지정사
용언;VCN;부정 지정사
수식언;MM;관형사
수식언;MAG;일반 부사
수식언;MAJ;접속 부사
독립언;IC;감탄산
관계언;JKS;주격 조사
관계언;JKC;보격 조사
관계언;JKG;관현격 조사
관계언;JKO;목적격 조사
관계언;JKB;부사격 조사
관계언;JKV;호격 조사
관계언;JKQ;인용격 조사
관계언;JX;보조사
관계언;JC;접속 조사
의존 형태;EP;선어말 어미
의존 형태;EF;종결 어미
의존 형태;EC;연결 어미
의존 형태;ETN;명사형 전성 어미
의존 형태;ETM;관형형 전성 어미
의존 형태;XPN;체언 접두사
의존 형태;XSN;명사 파생 접미사
의존 형태;XSV;동사 파생 접미사
의존 형태;XSA;형용사 파생 접미사
의존 형태;XR;어근
기호;SF;마침표, 물음표, 느낌표
기호;SP;쉼표, 가운뎃점, 콜론, 빗금
기호;SS;따옴표, 괄호표, 줄표
기호;SE;줄임표
기호;SO;붙임표(물결, 숨김, 빠짐)
기호;SL;외국어
기호;SH;한자
기호;SW;기타 기호(논리, 수학 기호, 화폐 기호 등)
기호;SWK;한글 자소
기호;SN;숫자
추정;ZN;분석 불능(명사 추정)
추정;ZV;분석 불능(용언 추정)
추정;ZZ;분석 불능(기타)